,GSM3690854_NG03_htseq,GSM3690874_NG09_htseq,GSM3690872_NG13_htseq,GSM3690862_NG04_htseq,GSM3690870_NG11_htseq,GSM3690873_NG14_htseq,GSM3690871_NG12_htseq,GSM3690860_NG06_htseq,GSM3690853_NG01_htseq,GSM3690861_NG07_htseq,GSM3690859_NG05_htseq,GSM3690869_NG10_htseq
0610005C13Rik,0,0,0,0,0,0,0,0,0,0,0,0
0610007N19Rik,0,0,8,0,0,0,0,0,0,0,0,0
0610007P14Rik,29,158,449,618,740,752,7,550,192,979,352,507
0610008F07Rik,0,0,0,0,0,0,0,0,0,0,0,0
0610009B14Rik,0,0,14,0,0,0,0,0,0,0,0,0
0610009B22Rik,0,0,268,737,83,349,0,120,222,278,35,309
0610009D07Rik,66,83,375,460,293,617,2,779,185,1017,648,668
0610009L18Rik,194,190,23,212,263,0,81,0,49,67,124,26
0610009O20Rik,33,0,218,389,469,377,45,138,205,771,75,843
0610010B08Rik,20,7,11,0,9,22,9,5,4,0,1,33
0610010F05Rik,224,35,1168,0,44,438,0,494,108,413,0,1033
0610010K14Rik,0,11,139,1032,439,478,0,617,236,948,1513,238
0610011F06Rik,454,9,442,187,619,333,125,609,263,339,1227,490
0610012G03Rik,190,757,638,1149,1257,1013,294,763,685,2788,1773,1044
0610012H03Rik,0,0,0,0,0,0,0,0,0,0,0,0
0610030E20Rik,79,67,492,20,568,63,34,39,156,267,294,674
0610031J06Rik,0,0,176,0,285,93,0,106,426,1142,486,222
0610031O16Rik,0,0,0,0,0,0,0,0,0,0,0,0
0610037L13Rik,149,53,346,569,683,478,61,1106,642,2138,397,1231
0610038B21Rik,0,0,0,0,0,1,0,0,19,0,0,0
0610038L08Rik,0,0,0,87,14,0,0,0,0,0,0,0
0610039K10Rik,0,0,0,0,0,8,0,0,0,0,0,0
0610040B10Rik,25,2,25,0,0,0,0,0,30,122,0,4
0610040F04Rik,1,0,1,1,54,0,15,4,42,0,0,232
0610040J01Rik,0,0,0,0,0,0,0,0,0,0,0,0
0610043K17Rik,5,0,0,0,1,11,0,0,8,0,0,0
1100001G20Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110001A16Rik,86,5,34,186,258,129,5,0,115,435,423,192
1110001J03Rik,70,379,79,204,132,176,58,215,204,222,154,122
1110002L01Rik,0,0,24,0,13,0,0,53,0,0,0,122
1110004E09Rik,7,983,295,528,832,367,1,362,209,909,1299,430
1110004F10Rik,115,792,908,1907,2450,1899,27,853,1121,2698,3312,1472
1110006O24Rik,160,0,0,0,0,0,0,0,0,117,0,0
1110007C09Rik,0,0,16,0,0,0,0,0,0,35,241,26
1110008F13Rik,0,0,13,0,172,18,0,35,26,497,0,41
1110008J03Rik,40,1,88,0,118,57,129,15,0,97,70,649
1110008L16Rik,2,0,101,0,0,107,0,0,0,176,3,386
1110008P14Rik,207,308,195,856,861,564,256,700,676,1737,2617,426
1110012L19Rik,0,0,116,704,458,243,0,12,255,1056,541,347
1110015O18Rik,0,0,0,0,18,0,0,0,0,0,0,0
1110017D15Rik,50,1,0,0,0,0,0,0,0,1,0,15
1110018G07Rik,215,865,782,1423,1285,370,267,1311,604,1236,725,1416
1110019D14Rik,0,0,0,0,16,0,0,0,0,0,0,8
1110020A21Rik,0,12,0,0,35,0,0,0,60,0,0,0
1110025L11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110028F11Rik,0,0,0,0,0,0,0,0,0,0,0,0
