,GSM3690885_NS_NG18_htseq,GSM3690888_NS_NG21_htseq,GSM3690886_NS_NG19_htseq,GSM3690887_NS_NG20_htseq
0610005C13Rik,0,0,0,0
0610007N19Rik,0,0,33,0
0610007P14Rik,448,848,130,863
0610008F07Rik,0,0,0,0
0610009B14Rik,0,0,0,0
0610009B22Rik,641,96,1,967
0610009D07Rik,881,362,503,1678
0610009L18Rik,42,79,0,459
0610009O20Rik,0,10,2,356
0610010B08Rik,0,5,4,0
0610010F05Rik,69,932,66,0
0610010K14Rik,1,699,7,378
0610011F06Rik,15,152,1,827
0610012G03Rik,818,756,94,1839
0610012H03Rik,0,0,0,0
0610030E20Rik,10,14,42,17
0610031J06Rik,2,483,0,193
0610031O16Rik,0,0,0,0
0610037L13Rik,0,431,25,1436
0610038B21Rik,0,0,0,0
0610038L08Rik,0,0,1,0
0610039K10Rik,0,0,0,0
0610040B10Rik,0,0,0,0
0610040F04Rik,0,2,1,0
0610040J01Rik,0,0,0,0
0610043K17Rik,0,0,0,0
1100001G20Rik,0,0,0,0
1110001A16Rik,397,197,0,321
1110001J03Rik,0,285,172,506
1110002L01Rik,0,0,0,0
1110004E09Rik,1186,684,3,313
1110004F10Rik,274,2582,1208,3805
1110006O24Rik,0,0,0,0
1110007C09Rik,0,0,0,0
1110008F13Rik,0,0,0,19
1110008J03Rik,0,256,22,370
1110008L16Rik,58,216,0,0
1110008P14Rik,661,1170,270,1559
1110012L19Rik,0,569,207,0
1110015O18Rik,0,0,0,0
1110017D15Rik,0,0,0,0
1110018G07Rik,0,1602,79,1055
1110019D14Rik,0,0,0,122
1110020A21Rik,0,0,0,0
1110025L11Rik,0,0,0,0
1110028F11Rik,0,0,0,0
1110028F18Rik,0,0,0,0
1110032A03Rik,1,441,2,1489
1110032F04Rik,0,0,0,0
1110034G24Rik,0,218,162,0
1110035M17Rik,0,81,0,0
1110036E04Rik,0,0,0,0
1110037F02Rik,185,35,205,446
1110038B12Rik,491,100,25,0
1110038F14Rik,0,371,0,140
1110046J04Rik,1,148,1,0
1110051M20Rik,0,717,22,771
1110054M08Rik,0,38,3,0
1110057K04Rik,0,17,109,1191
1110058L19Rik,669,962,178,664
1110059E24Rik,259,870,1022,144
1110059G10Rik,1096,135,209,28
1110059M19Rik,0,0,0,0
1110065P20Rik,97,92,1,302
1190002F15Rik,0,20,2,0
1190002N15Rik,0,0,0,1
1190003J15Rik,0,0,0,0
1190003K10Rik,0,0,0,0
1190005I06Rik,0,0,0,301
1190007I07Rik,0,61,344,78
1200011I18Rik,2570,804,32,615
1200014J11Rik,2004,273,254,785
1300002E11Rik,31,4,0,0
1300002K09Rik,0,1,0,0
1300015D01Rik,0,0,0,0
1300017J02Rik,0,0,0,0
1300018J18Rik,0,7,0,0
1500002O10Rik,0,0,0,0
1500004A13Rik,0,225,21,29
1500009C09Rik,0,222,65,547
1500009L16Rik,0,251,102,0
1500011B03Rik,0,2462,6,2623
1500011K16Rik,143,330,1079,711
1500012F01Rik,3,69,164,435
1500012K07Rik,0,2,0,0
1500015A07Rik,0,229,33,0
1500015L24Rik,0,0,0,0
1500015O10Rik,0,0,0,0
1500016L03Rik,0,0,0,0
1500017E21Rik,0,0,0,0
1500032L24Rik,1195,1069,768,2414
1600002D24Rik,0,0,0,0
1600002H07Rik,1,6,0,492
1600002K03Rik,0,0,0,0
1600010M07Rik,0,1,0,5
1600012H06Rik,0,122,0,0
1600014C10Rik,5,383,6,0
1600014C23Rik,0,0,0,0
1600014K23Rik,0,0,0,0
1600015I10Rik,0,0,0,0
1600016N20Rik,0,0,0,0
1600019K03Rik,0,0,0,0
1600020E01Rik,0,0,0,273
1600023N17Rik,0,0,0,0
1600025M17Rik,0,0,0,0
1600029D21Rik,1,2,0,5
1600029I14Rik,0,0,0,0
1600029O15Rik,20,4,6,1
1700001C02Rik,0,0,0,0
1700001C19Rik,0,0,0,0
1700001D01Rik,0,0,0,0
1700001F09Rik,0,0,0,0
1700001G11Rik,0,0,12,0
1700001G17Rik,0,0,0,0
1700001J03Rik,0,0,0,0
1700001J11Rik,0,0,0,0
1700001K19Rik,0,29,0,46
1700001K23Rik,0,0,0,0
1700001L05Rik,1786,26,3,722
1700001L19Rik,0,0,130,0
1700001O22Rik,0,0,0,0
1700001P01Rik,0,0,0,0
1700003C15Rik,0,0,0,0
1700003D09Rik,0,0,0,0
1700003E16Rik,0,723,0,358
1700003F12Rik,0,0,0,0
1700003F17Rik,0,0,0,0
1700003G13Rik,0,0,0,0
1700003G18Rik,0,0,0,1
1700003H04Rik,0,0,0,0
1700003L19Rik,0,0,0,0
1700003M02Rik,0,0,0,0
1700003M07Rik,56,11,6,586
1700003P14Rik,0,0,0,0
1700006A11Rik,0,0,0,0
1700006E09Rik,0,0,0,0
1700006F04Rik,0,0,0,0
1700006H21Rik,0,0,0,0
1700007B14Rik,0,0,0,0
1700007F19Rik,0,0,0,0
