,GSM3690880_HC_NG17_htseq,GSM3690879_HC_NG16_htseq,GSM3690878_HC_NG15_htseq
0610005C13Rik,0,0,0
0610007N19Rik,177,0,0
0610007P14Rik,791,0,146
0610008F07Rik,0,0,0
0610009B14Rik,0,0,0
0610009B22Rik,206,96,546
0610009D07Rik,555,1717,867
0610009L18Rik,0,1,110
0610009O20Rik,107,0,1
0610010B08Rik,30,0,5
0610010F05Rik,1013,1,1
0610010K14Rik,336,0,279
0610011F06Rik,442,0,472
0610012G03Rik,1117,967,976
0610012H03Rik,0,0,0
0610030E20Rik,1213,16,6
0610031J06Rik,0,0,658
0610031O16Rik,0,0,0
0610037L13Rik,0,0,561
0610038B21Rik,0,0,0
0610038L08Rik,0,0,0
0610039K10Rik,0,0,0
0610040B10Rik,0,0,0
0610040F04Rik,239,0,0
0610040J01Rik,0,0,0
0610043K17Rik,0,0,0
1100001G20Rik,0,0,0
1110001A16Rik,116,0,75
1110001J03Rik,0,0,172
1110002L01Rik,0,0,0
1110004E09Rik,535,57,0
1110004F10Rik,2246,971,1271
1110006O24Rik,0,0,0
1110007C09Rik,0,0,0
1110008F13Rik,0,0,0
1110008J03Rik,0,0,0
1110008L16Rik,0,1,0
1110008P14Rik,844,83,440
1110012L19Rik,0,0,511
1110015O18Rik,0,0,0
1110017D15Rik,0,0,0
1110018G07Rik,522,228,845
1110019D14Rik,0,0,0
1110020A21Rik,0,0,0
1110025L11Rik,0,0,0
1110028F11Rik,0,0,0
1110028F18Rik,0,0,0
1110032A03Rik,2,104,278
1110032F04Rik,0,715,0
1110034G24Rik,0,147,52
1110035M17Rik,0,0,0
1110036E04Rik,0,0,0
1110037F02Rik,986,0,235
1110038B12Rik,0,1042,194
1110038F14Rik,361,119,89
1110046J04Rik,12,1,16
1110051M20Rik,2288,3,2060
1110054M08Rik,0,0,0
1110057K04Rik,233,14,339
1110058L19Rik,213,197,591
1110059E24Rik,0,7,979
1110059G10Rik,5,1,213
1110059M19Rik,0,0,0
1110065P20Rik,60,0,0
1190002F15Rik,0,0,0
1190002N15Rik,0,14,866
1190003J15Rik,0,0,108
1190003K10Rik,0,0,0
1190005I06Rik,3,487,0
1190007I07Rik,0,0,0
1200011I18Rik,49,3348,1312
1200014J11Rik,1419,89,133
1300002E11Rik,284,0,0
1300002K09Rik,0,0,0
1300015D01Rik,0,0,0
1300017J02Rik,0,0,0
1300018J18Rik,0,0,32
1500002O10Rik,0,0,0
1500004A13Rik,44,0,2
1500009C09Rik,607,4,390
1500009L16Rik,363,0,328
1500011B03Rik,2081,1210,676
1500011K16Rik,102,41,135
1500012F01Rik,0,1,40
1500012K07Rik,2,5,1
1500015A07Rik,803,0,0
1500015L24Rik,0,0,0
1500015O10Rik,0,0,0
1500016L03Rik,0,0,0
1500017E21Rik,0,0,0
1500032L24Rik,1162,0,1110
1600002D24Rik,0,0,0
1600002H07Rik,11,49,16
1600002K03Rik,1,0,96
1600010M07Rik,0,0,0
1600012H06Rik,0,0,0
1600014C10Rik,0,0,131
1600014C23Rik,0,0,0
1600014K23Rik,0,0,0
1600015I10Rik,0,0,0
1600016N20Rik,0,0,0
1600019K03Rik,0,0,0
1600020E01Rik,279,0,0
1600023N17Rik,0,0,0
1600025M17Rik,0,0,0
1600029D21Rik,5,1,6
1600029I14Rik,0,0,0
1600029O15Rik,17,5,8
1700001C02Rik,0,0,0
1700001C19Rik,0,0,0
1700001D01Rik,0,0,0
1700001F09Rik,0,0,0
1700001G11Rik,0,0,0
1700001G17Rik,0,0,0
1700001J03Rik,0,0,0
1700001J11Rik,0,0,0
1700001K19Rik,0,0,0
1700001K23Rik,0,0,0
1700001L05Rik,0,0,1
1700001L19Rik,0,0,0
1700001O22Rik,0,0,0
1700001P01Rik,0,0,0
1700003C15Rik,0,0,0
1700003D09Rik,0,0,0
1700003E16Rik,389,0,0
1700003F12Rik,0,0,0
1700003F17Rik,0,0,0
1700003G13Rik,0,0,0
1700003G18Rik,0,0,0
1700003H04Rik,0,0,0
1700003L19Rik,0,0,27
1700003M02Rik,0,0,0
1700003M07Rik,27,2,20
1700003P14Rik,0,0,0
1700006A11Rik,0,0,0
1700006E09Rik,0,0,0
1700006F04Rik,0,0,0
1700006H21Rik,0,0,0
1700007B14Rik,0,0,0
1700007F19Rik,0,0,0
1700007G11Rik,0,0,0
1700007J10Rik,148,57,64
1700007K09Rik,0,0,0
1700007K13Rik,0,0,0
1700007L15Rik,0,0,0
1700007P06Rik,0,0,0
1700008A04Rik,0,0,0
1700008F21Rik,0,0,0
1700008I05Rik,0,0,0
1700008J07Rik,0,0,45
1700008K24Rik,0,0,0
1700008O03Rik,8,0,0
1700008P02Rik,0,0,0
1700009C05Rik,0,0,0
1700009J07Rik,0,0,0
1700009N14Rik,0,0,0
1700009P17Rik,0,0,0
1700010B08Rik,0,0,0
1700010D01Rik,0,0,0
1700010I02Rik,2,0,1
1700010I14Rik,0,0,0
1700010J16Rik,0,0,0
1700010K23Rik,0,0,0
1700011A15Rik,0,0,0
1700011B04Rik,0,0,0
1700011E24Rik,0,0,0
1700011H14Rik,0,0,0
1700011I03Rik,0,0,0
1700011J10Rik,252,1,227
1700011L22Rik,0,0,0
1700011M02Rik,0,0,0
1700012A03Rik,0,0,0
1700012B07Rik,0,0,0
1700012B09Rik,0,0,0
1700012B15Rik,0,516,63
1700012D01Rik,0,0,0
1700012D14Rik,0,0,0
1700012I11Rik,0,0,0
1700012L04Rik,0,0,0
1700012P22Rik,0,0,0
1700013D24Rik,0,0,0
1700013F07Rik,0,0,15
1700013G23Rik,0,229,0
1700013G24Rik,0,0,0
1700013H16Rik,0,0,0
1700015E13Rik,0,0,0
1700015F17Rik,0,0,0
1700015G11Rik,0,0,0
1700016C15Rik,0,0,0
1700016D06Rik,0,3,12
1700016G22Rik,0,0,0
1700016H13Rik,0,0,0
1700016K19Rik,0,29,0
1700016L04Rik,0,0,0
1700016L21Rik,0,0,0
1700016P04Rik,0,0,0
1700017B05Rik,0,911,0
1700017D01Rik,0,0,0
1700017G19Rik,0,0,0
1700017J07Rik,0,0,0
1700017N19Rik,0,0,0
1700018A04Rik,0,0,0
1700018B08Rik,0,0,0
1700018B24Rik,0,0,0
1700018C11Rik,0,0,0
1700018F24Rik,0,0,0
1700018G05Rik,0,0,0
1700018L02Rik,0,0,0
1700019A02Rik,0,0,0
1700019B03Rik,0,0,0
1700019B21Rik,0,0,0
1700019D03Rik,327,0,0
1700019E08Rik,0,0,0
1700019G17Rik,0,0,0
1700019G24Rik,0,0,0
1700019L03Rik,0,0,0
1700019M22Rik,0,0,0
1700019N19Rik,0,0,0
1700019O17Rik,0,0,0
1700020A23Rik,0,0,0
1700020D05Rik,0,0,0
1700020G17Rik,0,0,0
1700020I14Rik,515,187,79
1700020L24Rik,0,0,0
1700020M21Rik,0,0,0
1700020N01Rik,0,0,0
1700020N15Rik,0,0,0
1700020N18Rik,0,0,0
1700021F05Rik,286,0,0
1700021F07Rik,0,0,0
1700021K19Rik,696,0,1107
1700021N21Rik,0,0,0
1700022A21Rik,0,0,0
1700022A22Rik,0,0,0
1700022E09Rik,0,0,0
1700022H16Rik,0,0,0
1700022I11Rik,0,0,0
1700022P22Rik,0,0,0
1700023A16Rik,0,0,0
1700023C21Rik,0,0,0
1700023E05Rik,0,0,0
1700023F02Rik,0,0,0
1700023F06Rik,0,0,0
1700023L04Rik,0,0,0
1700024B18Rik,0,0,0
1700024F13Rik,0,0,0
1700024G13Rik,0,0,0
1700024P03Rik,0,0,0
1700024P04Rik,0,0,0
1700024P16Rik,0,0,0
1700025B11Rik,0,0,0
1700025C18Rik,0,0,0
1700025E21Rik,0,0,0
1700025F22Rik,0,0,0
1700025F24Rik,0,0,0
1700025G04Rik,322,6,568
1700025K24Rik,0,0,0
1700025M24Rik,0,0,0
1700025N23Rik,18,32,34
1700026D08Rik,0,0,0
1700026D11Rik,0,0,0
1700026F02Rik,0,0,0
1700026L06Rik,0,0,0
1700027A15Rik,0,0,0
1700027F09Rik,0,0,0
1700027H10Rik,0,0,0
1700027I24Rik,0,0,0
1700027J07Rik,0,0,0
1700028B04Rik,0,0,0
1700028D13Rik,0,0,0
1700028E10Rik,0,0,0
1700028I16Rik,0,0,0
1700028J19Rik,0,0,0
1700028K03Rik,0,0,0
1700028M03Rik,0,0,0
1700028P14Rik,0,0,0
1700028P15Rik,0,0,0
1700029B22Rik,0,0,0
1700029F12Rik,0,0,0
1700029H14Rik,0,0,0
1700029I15Rik,0,0,0
1700029J03Rik,0,0,0
1700029J07Rik,1,0,0
1700029M20Rik,0,0,0
1700029N11Rik,0,0,0
1700029P11Rik,0,0,0
1700030A11Rik,0,0,0
1700030C10Rik,0,0,1
1700030F04Rik,0,0,0
1700030F18Rik,0,0,0
1700030J22Rik,10,0,0
1700030K09Rik,593,0,237
1700030L20Rik,0,0,0
1700030M09Rik,0,0,0
1700030N03Rik,0,0,0
1700030O20Rik,0,0,0
1700031A10Rik,0,0,0
1700031F05Rik,0,0,0
1700031M16Rik,0,0,0
1700031P21Rik,0,0,0
1700034E13Rik,0,0,0
1700034F02Rik,0,0,0
1700034G24Rik,0,8,0
1700034H15Rik,6,0,4
1700034I23Rik,0,0,0
1700034J05Rik,0,0,0
1700034K08Rik,0,0,0
1700034O15Rik,0,0,0
1700034P13Rik,0,0,0
1700036G14Rik,0,0,0
1700037C18Rik,0,0,0
1700037H04Rik,0,220,21
1700039E15Rik,0,0,0
1700039E22Rik,0,0,0
1700040L02Rik,0,0,0
1700040N02Rik,0,0,0
1700041C23Rik,0,0,0
1700041M19Rik,0,0,0
1700042B14Rik,0,0,0
1700042G07Rik,0,0,0
1700042G15Rik,0,0,0
1700042O10Rik,0,0,0
1700044C05Rik,0,0,0
1700044K03Rik,0,0,0
1700045H11Rik,0,0,0
1700045I19Rik,0,0,8
1700046C09Rik,0,0,0
1700047E10Rik,10,2,3
1700047G03Rik,0,0,0
1700047I17Rik2,0,0,0
1700047L14Rik,0,0,0
1700047M11Rik,0,0,0
1700048M11Rik,0,0,0
1700048O20Rik,908,10,33
1700049E15Rik,0,0,0
1700049E22Rik,0,0,0
